tweetid,username,postdata,likes,retweets,quotes,replies,timeposted,profid
1609236624054927364,smoke_screen_uk,2022: 30 Years of Smoke Screen! We are proud of the work that we have done both in crime prevention and community work. Thank you for your continuous support and we look forward to seeing what else we can do together tp help reduce and tackle crime! 🌟 https://t.co/zDr1Dgovc7,0,0,0,0,1672506884000,4385
1608871535476883457,smoke_screen_uk,"2021: 🐅 Some species came back from the brink of extinction - Tuna, Siberian tigers, European Bison and Saiga Antelope. ⚓ A mission to clean up the Great Pacific garbage patch launched in October, brought back a total of 100,000kg from the ocean on its haul. https://t.co/l6EPumsYGI",0,0,0,0,1672419840000,4385
1608508392800243712,smoke_screen_uk,2020: ♻️vRenewables had a record year with advancements in green tech have rapidly brought down the costs of wind and solar. 🌍 Africa was declared free of wild polio!  💉 The Coronavirus vaccine became the fastest vaccine to be ever developed. https://t.co/Hp4wIkRTId,0,0,0,0,1672333260000,4385
1608147011714383872,smoke_screen_uk,2019: Smoke Screen are winners of the BSIA International Partnership Awards for our work creating Sentinel Connect in conjunction with ASB security in The Netherlands. https://t.co/hKlHF7Nrcr https://t.co/mYHaToIsEi,0,0,0,0,1672247100000,4385
1607782610272411648,smoke_screen_uk,2018: 🌿Serranía de Chiribiquete (Columbia) was declared the world’s largest tropical rainforest national park.  🐝 The EU agreed to ban a group of insecticides that have been linked to a dramatic reduction in bee numbers. https://t.co/Bl9VKBXoPs,0,0,0,0,1672160220000,4385
1607419467478220803,smoke_screen_uk,2017: 🏅 Smoke screen are awarded the 'Best International partnership' with with Allarmi Seguranca e monitoramento and their massive deployment of fog generators in Latin America. 🐝 Europe is set to act on bee-harming pesticides with a total ban on neonicotinoids. https://t.co/WfuAxWXl9V,0,0,0,0,1672073640000,4385
1607056828013199361,smoke_screen_uk,"2016: This year we saw a halt of a century of decline, with tiger 🐯 numbers rising. And a 50-year war finally ends with a peace treaty in Colombia 🕊️  #conceptsmokescreen #30years #smokesecurity #30yearsofsmokescreen #crimeprevention #smokescreen #keepingyousafe https://t.co/lMwVybQpM5",0,0,0,0,1671987180000,4385
1606693685047054336,smoke_screen_uk,"2015: The Hatton Garden safe deposit burglary occurred. A total of £14 million was stolen by six elderly experienced thieves, only £4.3 million had been recovered (If only they had #smokescreen installed!) #conceptsmokescreen #30years #smokesecurity https://t.co/yWpzCX49GJ",0,0,0,0,1671900600000,4385
1606331045569232898,smoke_screen_uk,"""2014: Scientists have confirmed global victory with the recovery of the ozone layer. All the 197 nations of the UN pledged in 1987 to ban the chemicals that were destroying the Earth’s protective ozone layer. https://t.co/DvzPLkcs2w",0,0,0,0,1671814140000,4385
1605987280560193539,smoke_screen_uk,2013: It was an exciting year for Smoke Screen! We were delighted to announce the tandem launch of our new website and our innovative new product lines! #conceptsmokescreen #smokesecurity #30yearsofsmokescreen #crimeprevention #smokescreen #keepingyousafe #goodnewsstories https://t.co/ns2uBaL1lU,0,0,0,0,1671732180000,4385
1605605665153716224,smoke_screen_uk,2012: 💧2 billion more get safe water to drink - UN goal achieved.  🏊 London Olympic swimmer Michael Phelps won 4 gold and 2 silver medals in the London games becoming the most decorated athlete ever. https://t.co/2ejhTe4TVu,0,0,0,0,1671641195000,4385
1605243537121058816,smoke_screen_uk,"2011: 👑 William and Kate Middleton get married.  🐬 Australian researchers discovered a new dolphin species, since named the Tursiops Australis. Do you remember any other good news stories from 2011? https://t.co/8VIFPQgsGm",1,0,0,0,1671554857000,4385
