insertionkey,username,postdata,likes,retweets,quotes,replies,timeposted
1609236624054927364,1672506884000,1672506884000,1672506884000,1672506884000,1672506884000,1672506884000,1672506884000
1608871535476883457,1672419840000,1672419840000,1672419840000,1672419840000,1672419840000,1672419840000,1672419840000
1608508392800243712,1672333260000,1672333260000,1672333260000,1672333260000,1672333260000,1672333260000,1672333260000
1608147011714383872,1672247100000,1672247100000,1672247100000,1672247100000,1672247100000,1672247100000,1672247100000
1607782610272411648,1672160220000,1672160220000,1672160220000,1672160220000,1672160220000,1672160220000,1672160220000
1607419467478220803,1672073640000,1672073640000,1672073640000,1672073640000,1672073640000,1672073640000,1672073640000
1607056828013199361,1671987180000,1671987180000,1671987180000,1671987180000,1671987180000,1671987180000,1671987180000
1606693685047054336,1671900600000,1671900600000,1671900600000,1671900600000,1671900600000,1671900600000,1671900600000
1606331045569232898,1671814140000,1671814140000,1671814140000,1671814140000,1671814140000,1671814140000,1671814140000
1605987280560193539,1671732180000,1671732180000,1671732180000,1671732180000,1671732180000,1671732180000,1671732180000
1605605665153716224,1671641195000,1671641195000,1671641195000,1671641195000,1671641195000,1671641195000,1671641195000
1605243537121058816,1671554857000,1671554857000,1671554857000,1671554857000,1671554857000,1671554857000,1671554857000
1604865745015422976,1671464785000,1671464785000,1671464785000,1671464785000,1671464785000,1671464785000,1671464785000
1604518494921687041,1671381994000,1671381994000,1671381994000,1671381994000,1671381994000,1671381994000,1671381994000
1604095289660407809,1671281094000,1671281094000,1671281094000,1671281094000,1671281094000,1671281094000,1671281094000
1603778687673012225,1671205610000,1671205610000,1671205610000,1671205610000,1671205610000,1671205610000,1671205610000
1603431413080100864,1671122813000,1671122813000,1671122813000,1671122813000,1671122813000,1671122813000,1671122813000
1603067547120816128,1671036061000,1671036061000,1671036061000,1671036061000,1671036061000,1671036061000,1671036061000
1602644311568531458,1670935154000,1670935154000,1670935154000,1670935154000,1670935154000,1670935154000,1670935154000
1602342001009213440,1670863077000,1670863077000,1670863077000,1670863077000,1670863077000,1670863077000,1670863077000
1601979591815581697,1670776672000,1670776672000,1670776672000,1670776672000,1670776672000,1670776672000,1670776672000
1601613208670056449,1670689320000,1670689320000,1670689320000,1670689320000,1670689320000,1670689320000,1670689320000
1600886205696155648,1670515989000,1670515989000,1670515989000,1670515989000,1670515989000,1670515989000,1670515989000
1600607330751680522,1670449500000,1670449500000,1670449500000,1670449500000,1670449500000,1670449500000,1670449500000
1600184300007211011,1670348641000,1670348641000,1670348641000,1670348641000,1670348641000,1670348641000,1670348641000
1599820647017943040,1670261940000,1670261940000,1670261940000,1670261940000,1670261940000,1670261940000,1670261940000
1599503054264537090,1670186220000,1670186220000,1670186220000,1670186220000,1670186220000,1670186220000,1670186220000
1599095247165857792,1670088991000,1670088991000,1670088991000,1670088991000,1670088991000,1670088991000,1670088991000
1598732476561723419,1670002500000,1670002500000,1670002500000,1670002500000,1670002500000,1670002500000,1670002500000
1598292578046197761,1669897620000,1669897620000,1669897620000,1669897620000,1669897620000,1669897620000,1669897620000
1577952228635197441,1665048102000,1665048102000,1665048102000,1665048102000,1665048102000,1665048102000,1665048102000
1559618577904312323,1660677019000,1660677019000,1660677019000,1660677019000,1660677019000,1660677019000,1660677019000
1556682906315018241,1659977101000,1659977101000,1659977101000,1659977101000,1659977101000,1659977101000,1659977101000
1555271098706677768,1659640500000,1659640500000,1659640500000,1659640500000,1659640500000,1659640500000,1659640500000
1554137380206116864,1659370200000,1659370200000,1659370200000,1659370200000,1659370200000,1659370200000,1659370200000
1553078904738414592,1659117840000,1659117840000,1659117840000,1659117840000,1659117840000,1659117840000,1659117840000
1551961793358069762,1658851500000,1658851500000,1658851500000,1658851500000,1658851500000,1658851500000,1658851500000
1550534639097626624,1658511240000,1658511240000,1658511240000,1658511240000,1658511240000,1658511240000,1658511240000
1549469164708024323,1658257211000,1658257211000,1658257211000,1658257211000,1658257211000,1658257211000,1658257211000
1546856984686780420,1657634419000,1657634419000,1657634419000,1657634419000,1657634419000,1657634419000,1657634419000
1541466430557798406,1656349210000,1656349210000,1656349210000,1656349210000,1656349210000,1656349210000,1656349210000
1512384762526248964,1649415600000,1649415600000,1649415600000,1649415600000,1649415600000,1649415600000,1649415600000
1509946200899866635,1648834202000,1648834202000,1648834202000,1648834202000,1648834202000,1648834202000,1648834202000
1507409490911584270,1648229403000,1648229403000,1648229403000,1648229403000,1648229403000,1648229403000,1648229403000
1504471763626864642,1647528994000,1647528994000,1647528994000,1647528994000,1647528994000,1647528994000,1647528994000
1504401421831225353,1647512224000,1647512224000,1647512224000,1647512224000,1647512224000,1647512224000,1647512224000
1503751899316731908,1647357365000,1647357365000,1647357365000,1647357365000,1647357365000,1647357365000,1647357365000
1502292171847880704,1647009339000,1647009339000,1647009339000,1647009339000,1647009339000,1647009339000,1647009339000
1499783585259307015,1646411246000,1646411246000,1646411246000,1646411246000,1646411246000,1646411246000,1646411246000
1494631776668553228,1645182959000,1645182959000,1645182959000,1645182959000,1645182959000,1645182959000,1645182959000
1493609054563971085,1644939123000,1644939123000,1644939123000,1644939123000,1644939123000,1644939123000,1644939123000
1492083491047149574,1644575400000,1644575400000,1644575400000,1644575400000,1644575400000,1644575400000,1644575400000
1491443092196827138,1644422717000,1644422717000,1644422717000,1644422717000,1644422717000,1644422717000,1644422717000
1489603985468231681,1643984240000,1643984240000,1643984240000,1643984240000,1643984240000,1643984240000,1643984240000
1488485720784265222,1643717625000,1643717625000,1643717625000,1643717625000,1643717625000,1643717625000,1643717625000
1487085476938981379,1643383781000,1643383781000,1643383781000,1643383781000,1643383781000,1643383781000,1643383781000
1486008711818657801,1643127060000,1643127060000,1643127060000,1643127060000,1643127060000,1643127060000,1643127060000
1484530891196145665,1642774720000,1642774720000,1642774720000,1642774720000,1642774720000,1642774720000,1642774720000
1484192949252472832,1642694148000,1642694148000,1642694148000,1642694148000,1642694148000,1642694148000,1642694148000
1554105889065381889,1659362692000,1659362692000,1659362692000,1659362692000,1659362692000,1659362692000,1659362692000
1541399840352980992,1656333334000,1656333334000,1656333334000,1656333334000,1656333334000,1656333334000,1656333334000
1540758898247733248,1656180521000,1656180521000,1656180521000,1656180521000,1656180521000,1656180521000,1656180521000
1540142885651087360,1656033653000,1656033653000,1656033653000,1656033653000,1656033653000,1656033653000,1656033653000
1540142216558960641,1656033493000,1656033493000,1656033493000,1656033493000,1656033493000,1656033493000,1656033493000
1540035726024118272,1656008104000,1656008104000,1656008104000,1656008104000,1656008104000,1656008104000,1656008104000
1540032006506967040,1656007217000,1656007217000,1656007217000,1656007217000,1656007217000,1656007217000,1656007217000
